Student,LPIPS,SSIM
112590021.png,0.41727325320243835,0.4809684189317913
112590026.png,0.4392957389354706,0.5004862763121235
112590035.png,0.44416242837905884,0.4916818054479845
112590057.png,0.44469937682151794,0.46953492181744894
110820009.png,0.44923174381256104,0.5364932569043086
110590456.png,0.4511827528476715,0.5244322588518032
112590018.png,0.4655078947544098,0.39668926525374637
112590005.png,0.46554023027420044,0.5837468923768382
112590009.png,0.46988028287887573,0.553749908569155
111332012.png,0.4771806597709656,0.5501732675311897
112590036.png,0.4881055951118469,0.5893377516372762
112590060.png,0.49619826674461365,0.5416687042494351
112590007.png,0.4983570873737335,0.5446202414596214
112590038.png,0.5098353028297424,0.5539360781985199
112590023.png,0.5101267099380493,0.5531266743879509
112590041.png,0.5216491222381592,0.5289187044274084
112590029.png,0.5350553393363953,0.5875690750933855
112590059.png,0.5379770398139954,0.5696980410875865
112590056.png,0.5469244122505188,0.5913789380610445
112590033.png,0.54861980676651,0.5418544505008457
112590003.png,0.5700145363807678,0.5897019757824108
112590030.png,0.5867921113967896,0.49245609957332154
112590012.png,0.5873962044715881,0.5694733369965048
